Size,Bytes,Write App,Write OS,Write Device,Write Amp,Read App,Read OS,Read Device,Read Amp
1B,1,104730,217088,24576,24576.0,23531,90112,8192,8192.0
10B,10,30959,118784,24576,2457.6,23578,65536,8192,819.2
100B,100,21436,94208,16384,163.84,78456,430080,102400,1024.0
1KB,1024,28884,86016,16384,16.0,28680,65536,8192,8.0
10KB,10240,161468,393216,147456,14.4,71787,167936,8192,0.8
100KB,102400,947557,1052672,434176,4.24,344187,491520,176128,1.72
1MB,1048576,8993349,9121792,2129920,2.03125,2547619,2924544,1155072,1.1015625
10MB,10485760,52858528,53116928,21028864,2.00546875,22003470,22179840,10485760,1.0
100MB,104857600,7867102041,5404368896,166948864,1.5921484375,219340429,220889088,104857600,1.0
